open;high;low;close;volume;marketCap;timestamp
0.3128099171;0.3395027154;0.3071305274;0.3154841922;483037.97;8660787.52;"2022-10-03T00:00:00.000Z"
0.3154446295;0.3241099884;0.2988226737;0.3172760846;424964.88;8709979.2;"2022-10-10T00:00:00.000Z"
0.3173208147;0.3369988065;0.2981469195;0.3019175663;473732.24;8288351.54;"2022-10-17T00:00:00.000Z"
0.3018672089;0.320384986;0.2920660109;0.3089228477;449103.75;8480663.09;"2022-10-24T00:00:00.000Z"
0.3089164972;0.4272036757;0.2928254282;0.3896930257;1778461.82;10697995.57;"2022-10-31T00:00:00.000Z"
0.3896429177;0.3927033571;0.2544188508;0.257836084;473045.18;8401349.27;"2022-11-07T00:00:00.000Z"
0.2576621426;0.3191594587;0.2520036986;0.2658243841;546306.83;8661640.61;"2022-11-14T00:00:00.000Z"
0.2657369784;0.2950407453;0.2583044871;0.2845143905;621821.66;9270637.1;"2022-11-21T00:00:00.000Z"
0.2844092358;0.2936251887;0.266319599;0.2830654231;560712.22;9223423.85;"2022-11-28T00:00:00.000Z"
0.2834508495;0.2918017643;0.2666651168;0.2772957981;338427.36;9035425.98;"2022-12-05T00:00:00.000Z"
0.2772005626;0.2881304251;0.2559623037;0.2646369662;346941.04;8622949.7;"2022-12-12T00:00:00.000Z"
0.264795211;0.2684256433;0.2513341994;0.254740331;377448.07;8300477.04;"2022-12-19T00:00:00.000Z"
0.2547679681;0.2657543034;0.2218053817;0.2253019367;258206.13;7341254.31;"2022-12-26T00:00:00.000Z"
0.2255251301;0.2390180848;0.2214917048;0.2373618143;269385.91;7734214.22;"2023-01-02T00:00:00.000Z"
0.2375360049;0.2778227288;0.2371829721;0.2700586875;344070.36;8799611.45;"2023-01-09T00:00:00.000Z"
0.2699779038;0.2859141026;0.2555692826;0.2783108762;386172.37;9068501.36;"2023-01-16T00:00:00.000Z"
0.2780064358;0.2856245804;0.266987553;0.2835897889;396453.59;9240509.82;"2023-01-23T00:00:00.000Z"
0.2839435625;0.3247603146;0.2694354368;0.2972681604;475720.33;9686206.85;"2023-01-30T00:00:00.000Z"
0.2971706184;0.3204422455;0.2938967413;0.307209929;286284.43;10010150.14;"2023-02-06T00:00:00.000Z"
0.3067916919;0.5865594709;0.3002647107;0.5051212785;648962.29;16458907.61;"2023-02-13T00:00:00.000Z"
0.5052255142;0.5190214482;0.4041678557;0.4425008073;492639.23;14418477.73;"2023-02-20T00:00:00.000Z"
0.4425774368;0.5174944421;0.4106162248;0.4227540882;775157.81;13775049.23;"2023-02-27T00:00:00.000Z"
0.4229257017;0.4954264282;0.2919746815;0.322760864;372606.04;10516862.91;"2023-03-06T00:00:00.000Z"
0.3226803715;0.3894648864;0.3213084133;0.3718791491;345027.57;12117336.6;"2023-03-13T00:00:00.000Z"
0.3719195762;0.3888669871;0.343505273;0.3506664197;391075.71;11426139.52;"2023-03-20T00:00:00.000Z"
0.3506250471;0.3882852106;0.332962491;0.3640015989;464484.63;11860653.95;"2023-03-27T00:00:00.000Z"
0.3638224976;0.3916845085;0.3579914388;0.3726296147;417652.53;12141789.83;"2023-04-03T00:00:00.000Z"
0.3726161599;0.4484031609;0.3644068768;0.4328589251;393860.42;14104305.95;"2023-04-10T00:00:00.000Z"
0.4327688984;0.4334904421;0.3547769976;0.3672796038;342025.1;11967464.69;"2023-04-17T00:00:00.000Z"
0.3675129734;0.3807392376;0.3548359379;0.3646275434;535477.04;11881049.77;"2023-04-24T00:00:00.000Z"
